NUM,OUT_DM,RATIO_6H_srmx,RATIO_12H_srmx,RATIO_24H_srmx,RATIO_48H_srmx,newpeople_srmx,Total_people1_srmx,Total_people2_srmx,Total_people3_srmx,Total_edwin_srmx,Total_people_srmx
748,2021-08-27 16:55:00.840,0.38569895045309632,0.2976811906334072,0.15429656231388211,1.0235110710588189E-2,5.6502372522839153,5.0191365213700756,18.042243755292514,39.28081901904897,9.5920754079102222E-2,42.851609702347929
749,2021-08-27 17:55:00.843,0.38056576380558421,0.28885681952545483,0.15311184785673881,1.0350976985917949E-2,5.9075190636491133,4.7627814796449348,16.892307759952761,36.893889991202009,6.0956170197422672E-2,43.56814912349811
750,2021-08-27 18:55:00.867,0.37566224012397459,0.27776469586700836,0.15298881392252497,1.0173117715539503E-2,5.814009065370346,4.1377897627151485,16.115804405340903,34.090621694494523,6.3263888814437674E-2,41.833041867281295
751,2021-08-27 19:55:00.890,0.38200796084031807,0.28907505288201724,0.15176007088608875,9.7162444482740296E-3,5.5397592941652531,3.9157065203811383,14.935505389887272,33.945704332282098,7.4451629027046023E-2,33.482537174627808
752,2021-08-27 20:55:00.907,0.38016105985013532,0.27457705458556314,0.149209936510768,9.4846562703416737E-3,5.7304083880789207,3.9535324948695609,14.567779068537932,34.313263493842506,5.8217365171682009E-2,38.774381863258206
753,2021-08-27 21:55:01.033,0.38340712798734466,0.29617962450848623,0.15146179431399823,9.759103992872064E-3,5.8113799100711363,4.1647538533550499,15.118326655469165,34.252915586958075,0.1080441471857826,40.201976603931058
754,2021-08-27 22:55:00.903,0.3838810113578931,0.31234159043157311,0.15132606015332378,9.6018668286239686E-3,5.9516703164458029,4.3227374355321011,14.525261891963911,35.220173451820244,0.1248882102257179,38.007133614898663
755,2021-08-27 23:55:00.940,0.40548570005645029,0.33747422118472886,0.15244519987060057,9.8195107185557445E-3,5.7099620377801266,4.2503951952720564,14.208496574152271,31.588303761572938,0.12174748414420784,35.191463438976854
756,2021-08-28 00:55:00.963,0.4130816304975683,0.32958511305358973,0.1527892762174812,9.5405110841292155E-3,5.7257316615031808,0.0,0.0,0.0,0.0,11.999439269376655
757,2021-08-28 01:55:01.013,0.44600785439267454,0.36221060333399041,0.15413597064236956,0.0101428102912047,5.8076719477475871,4.8021028598368778,12.996578669164574,22.331136541508926,1.6799180253683466E-3,46.990091974501127
