NUM,OUT_DM,RATIO_6H_lstm,RATIO_12H_lstm,RATIO_24H_lstm,RATIO_48H_lstm,newpeople_lstm,Total_people1_lstm,Total_people2_lstm,Total_people3_lstm,Total_edwin_lstm,Total_people_lstm
2619,2021-11-13 12:55:00.573,28.467825000000001,22.044654999999999,1.9201402999999999,0.0,6.3600009999999996,2.1906585999999999,13.797390999999999,24.544622,0.13218741000000001,47.352398000000001
2620,2021-11-13 13:55:00.683,30.768442,20.393516999999999,2.4143707999999999,0.0,5.4013676999999998,2.2482483000000002,12.524393,25.411287000000002,0.12965465000000001,55.814079999999997
2621,2021-11-13 14:55:00.613,27.892519,19.140549,1.6305056,0.0,6.6896389999999997,2.2748827999999999,12.424293499999999,26.154768000000001,0.12792292,70.624139999999997
2622,2021-11-13 15:55:00.850,28.146550000000001,18.89574,1.3847145999999999,6.3108310000000001E-2,4.4455575999999999,1.5409073,12.19436,29.522116,0.12646367,46.546771999999997
2623,2021-11-13 16:55:00.500,39.517490000000002,21.789997,4.2493463,2.8715461000000001E-2,0.0,0.88899492999999996,9.9039219999999997,22.489799999999999,0.1033998,37.510323
2624,2021-11-13 17:55:00.393,43.591479999999997,19.464479999999998,5.6052116999999999,0.10795194,0.0,0.2724588,6.8262935000000002,18.295487999999999,6.8495719999999996E-2,30.525656000000001
2625,2021-11-13 18:55:00.373,37.710937999999999,11.107156,2.7783509999999998,0.111727595,3.5841851,0.52484554000000005,6.1850860000000001,16.340938999999999,6.1580860000000001E-2,28.421866999999999
2626,2021-11-13 19:55:00.483,19.304442999999999,4.3211560000000002,0.06567286,0.06567286,7.8982305999999998,0.57202434999999996,4.5348119999999996,17.636054999999999,6.9881890000000002E-2,28.596312000000001
2627,2021-11-13 20:55:00.603,17.932117000000002,6.4811892999999996,1.0191916999999999,0.11991911,8.1272310000000001,0.60708569999999995,5.5311593999999999,16.612185,7.7339149999999995E-2,28.118341000000001
2628,2021-11-13 21:55:00.677,23.402327,7.7731075000000001,2.0869977,0.18675032,6.5953499999999998,0.93435323000000003,6.2009964000000002,16.948957,8.7427809999999995E-2,29.166996000000001
2629,2021-11-13 22:55:00.490,27.951273,7.7057814999999996,0.50735474000000003,0.0,4.8556860000000004,1.0924098,8.0720030000000005,19.290482999999998,0.10425696499999999,33.173073000000002
2630,2021-11-13 23:55:00.490,23.169159000000001,6.2397856999999997,7.2717190000000001E-2,0.0,3.2439475,1.4636150000000001,7.6351924000000002,21.406078000000001,0.11662421000000001,35.373069999999998
2631,2021-11-14 00:55:00.953,28.540575,5.5525026000000004,0.96404979999999996,0.33863354000000001,4.3623459999999996,2.1286898000000001,8.9028179999999999,23.455145000000002,0.13551134000000001,37.330959999999997
2632,2021-11-14 01:55:00.510,24.045262999999998,5.4555736000000001,0.69407845000000001,0.33889780000000003,5.0058737000000004,1.2228285000000001,8.8648614999999999,26.208763000000001,0.15417764,38.068440000000002
2633,2021-11-14 02:55:00.960,29.398409999999998,6.9502043999999996,0.43730449999999998,0.34751075999999997,3.5576173999999998,2.0402089999999999,7.9243670000000002,23.713234,0.1519817,35.182102
2634,2021-11-14 03:55:00.787,38.80856,8.6574790000000004,0.27625364000000002,0.27625364000000002,2.5801058000000001,2.5752969000000001,6.2583679999999999,23.511172999999999,0.15678072000000001,34.160200000000003
2635,2021-11-14 04:55:00.840,55.050896000000002,10.98033,0.15099114,0.15099114,1.5212015999999999,2.7318861000000001,6.1120253,22.588249999999999,0.15587191,33.395556999999997
2636,2021-11-14 05:55:00.767,73.113119999999995,17.037067,0.74359739999999996,0.10693377,0.0,2.5829966,7.1024631999999999,21.20776,0.14841156,32.749462000000001
2637,2021-11-14 06:55:00.717,87.465000000000003,24.040521999999999,1.2607507,0.12351063,0.0,2.3627370000000001,8.2348020000000002,18.402373999999998,0.13127278000000001,30.855613999999999
2638,2021-11-14 07:55:00.677,87.465000000000003,30.546219000000001,1.4785571,0.08573981,0.75083290000000003,1.9221376999999999,8.8564004999999995,16.645793999999999,0.11349624,29.533344
2639,2021-11-14 08:55:00.707,66.682310000000001,31.038789999999999,0.77358420000000006,0.0,5.6962805000000003,1.6598468,7.6176987,17.962447999999998,0.1044588,29.817867
2640,2021-11-14 09:55:00.727,58.116768,28.415120999999999,3.9702260000000003E-2,0.0,6.7199249999999999,1.67153,7.2218249999999999,20.596525,9.5752980000000001E-2,31.893608
2641,2021-11-14 10:55:00.737,52.464619999999996,27.626787,0.0,0.0,4.742267,1.8167381,7.3867079999999996,22.606144,9.6153199999999994E-2,34.10474
2642,2021-11-14 11:55:00.777,47.104861999999997,27.285397,7.7637949999999997E-2,0.0,3.6475594,1.7664337000000001,8.7675560000000008,24.076172,9.9153179999999994E-2,36.39273
2643,2021-11-14 12:55:00.647,38.210278000000002,23.922556,8.4850474999999995E-2,0.0,5.0918289999999997,1.5268219000000001,7.5256670000000003,25.059142999999999,9.5814499999999997E-2,36.349345999999997
2644,2021-11-14 13:55:00.853,29.315926000000001,20.297357999999999,0.50036550000000002,0.0,7.7088312999999999,1.0843446999999999,9.8459810000000001,27.941257,0.11384872,40.190964000000001
